Z,mus,mup,mum,phis,phip,phim
0.0041,0.0188140026077249,-6.33377831530082,-5.63753032067485,0.950824544615119,0.00174621772703122,0.00350325695513961
0.0043,0.0188140026077147,-6.33377831530069,-5.63753032067466,0.950824541022063,0.00174621776639442,0.00350325712966935
0.0045,0.0188140026077089,-6.33377831530082,-5.63753032067491,0.95082453682849,0.00174621781233582,0.00350325733336808
0.0047,0.0188140026077009,-6.33377831530093,-5.6375303206749,0.950824531934567,0.00174621786595004,0.00350325757108594
0.0049,0.0188140026076797,-6.33377831530098,-5.63753032067483,0.950824526223787,0.00174621792851269,0.00350325784848143
0.0051,0.0188140026076738,-6.33377831530106,-5.63753032067481,0.9508245195602,0.00174621800151428,0.00350325817215933
0.0053,0.0188140026076596,-6.33377831530094,-5.6375303206749,0.950824511785169,0.00174621808669175,0.00350325854982433
0.0055,0.0188140026076339,-6.33377831530047,-5.63753032067514,0.950824502713601,0.00174621818607284,0.00350325899046719
0.0057,0.0188140026076291,-6.33377831530086,-5.6375303206752,0.950824492129536,0.00174621830202385,0.00350325950457831
0.0059,0.0188140026076057,-6.33377831530087,-5.63753032067523,0.950824479781007,0.00174621843730455,0.00350326010439622
0.0061,0.0188140026075906,-6.33377831530072,-5.63753032067542,0.950824465374043,0.00174621859513617,0.00350326080420097
